DABD,BBDC,DDDA,BDCA,BCAC,DADD,DDAD,CCDC,BBCC,ADAA,BABB,CDBA,BBBD,CBDD,DBAC,CCCA,BCBB,DCBB,CBBAC
CAAC,ABBC,BCDB,CBDD,DABB,BCDC,BBDA,BCDC,CDDC,DCBB,ADBC,DBAD,BCDA,ABDD,BCDB,DCBD,CCDD,CDBD,CCBBA
BCDD,BABA,ACDC,DCDD,DBBD,CDCA,DCAD,DADA,DAAB,DCBC,BBCC,DBAB,AABC,DDDA,DAAD,ADAC,ADAC,CDBC,ADBDA
DAAD,BCAB,CDBC,ADDA,ADCC,ABCB,DABD,BBDC,ACDD,DABA,CAAA,CDCA,DCBA,CBBC,BABD,BBBA,DDBD,DBBB,BACCC
CCDB,CCDB,CAAD,ACCD,CACB,ADAD,BCAB,BCCC,DABD,BACA,DADB,BCDC,DBDB,DCDC,DDBB,BDBB,CBAB,BCAB,DCADD
AACD,CBCB,CADD,CDDD,ABCA,BACA,ABCA,AABC,DBBA,BABD,DBDB,BBAB,AADC,DCDA,DBDA,CAAD,BADA,ABDB,CCBBA
BCDD,CAAB,CBDB,DDCD,AAAC,DDCB,BADC,DADB,DDAD,ABBB,BDCD,CCDA,BAAB,BDAC,ACBA,CBBD,DBAB,CACA,CABCA
ACDA,BBAB,ADAC,DBDC,DDBB,DBAC,ACDC,DBCD,BBDD,CBAD,BDBC,CCCD,AABD,BBBC,AADA,CCAA,CACD,CCAD,CCAAA
BBBD,ADBD,BABB,BCCC,BCCC,DABD,BABA,BDDB,BBBC,CAAC,DADA,BBCB,DABC,CACA,DCBA,BBAD,ACBA,BBDA,CDDAB
ABCA,BCBA,DBDD,ADCA,ACDA,ABBB,BBAB,CDAD,DBAB,BABC,BBBC,DCBC,ADBC,CABB,BAAB,DDCD,DDAA,BBDC,CDACD
CDDB,CDBA,BBBA,DABB,BBAC,ADAA,AACD,CCDB,CCBB,CCAB,DAAB,BABA,CBCC,AACD,CCAB,CBCD,AAAA,CCBA,DAACC
BCDD,BCCD,BDBD,AACD,CAAA,DCAC,DCDA,AAAC,ABAB,BCAB,CABD,BACB,DCCD,CBCD,CBCA,BBDB,CADC,CBBB,CBCDC
ADCA,BDDD,CDAA,BDDB,DADD,DABA,CCBD,DDBD,CCAD,AAAC,CBCD,DCAA,BABA,BADB,CBCD,AACB,DDCA,BBDD,DDAAB
CDDB,CCCB,BDDA,BBCB,CBDC,BADD,DACB,CACA,ADAC,AABA,DBBC,ADAC,BBAC,ACCA,DBCA,CBDC,BDCD,AAAD,CDADA
CCBB,DBAB,AACB,DCDB,ADAA,CBDA,DDCD,DBAD,ADBA,DBDC,BCAB,BDBA,ACCA,BAAD,DAAD,AADB,BCBD,DBDC,CACAD
ADBD,BCCC,CAAA,DACD,BACB,BBBC,DAAB,BBBD,CDCD,BCCC,DDCB,BDDD,DCCA,DDBD,BDAC,BACA,CACA,DAAB,ACCAB
DCDC,DCCB,BCAA,CBCC,ADAC,BBAB,ADCC,CABD,BCBB,DCCB,DADB,BBAD,DACB,BBCA,DACA,CDAA,CCDD,ABAB,DCDDC
BCCA,BCDC,CBBB,ACDC,CADC,CAAB,BBDD,CDAC,ACDC,CDAB,ACBD,CDBB,BADD,BDCC,ACAC,ACDC,CDCC,BCCA,ABDAA
CDCB,BCDA,CBAC,BACD,CCCC,CDCA,ADDB,BDAC,CCCB,DCAB,BABB,DDDC,BDAD,ACAB,ADAB,BDBA,CBCB,CDDD,BBDDA
DABB,CABB,CDDA,DACC,BDBA,DCBD,BBCC,ACAD,AACC,DACC,BDCA,CABA,ADAD,BCAB,BCDC,DBDA,ACDD,CCDB,ADCAC
DDAD,BDCC,BBAA,DABB,ACAC,ACAC,ADAC,DAAB,CDDD,ACCC,DBCB,BDBA,ACAD,ABBB,DCAD,AACD,DBBB,AACB,BDBDB
DDCB,ABAB,CBDC,CAAD,DDDC,CCCB,DDCD,BDAC,CACD,ADBB,ABCC,BCBC,DDDD,DBBB,ACBA,DBAC,ABDC,DADC,DDAAC
DDCD,CCCA,ADBC,CABC,DACB,BADB,CCAB,ABAC,BCAA,BADD,ACCD,DCCC,BAAC,CDCB,DADD,DCAC,BBDA,BDCD,CCADB
AADB,CDCD,ADCA,DCAD,CBAB,BDCD,DBBA,AABD,DACD,CDAD,CADC,ACAB,CCBA,ABCD,DADB,DDDC,CDDB,DCDC,ACBBD
DCBC,AACC,DCDD,ABBB,CDBA,BABD,DBDA,BCAD,CCAB,ACBB,DDCD,BCCB,ADDC,ACBC,ADDC,ABAB,BACC,DCCA,ADDDA
BCCC,ADCB,ADDB,ADDB,ACCC,BBAA,ADCA,BDAA,CDAD,BCCD,BBAC,DCBA,AADA,DCCD,ACCD,ABCA,ABCD,DBCD,DABCD
DDBA,BBCA,DAAD,CBCB,CABD,CCCB,BADC,BCAD,ADCB,DBCD,BABA,ACAC,ACDD,CABB,DCDB,CDCB,DCCD,DBDC,AACCA
ABCD,AAAD,DCAB,ABAD,DABA,BDBC,CBCA,DAAA,DCDD,ACAB,AABB,BACC,BAAB,CBAD,DDBB,AABD,DDCB,BCDD,CBDAC
DDCC,DDAC,AABB,CAAB,DDBB,BBBA,DBBA,ADAC,BBBB,BACB,ABDB,ADDC,AABD,DBAD,AADC,CBBB,BABD,DCCD,ADCCC
BBDD,CDBC,DBCD,ADBD,DAAB,CACD,BAAA,CCCC,BDCD,BDAC,DDBD,CCCA,ABAA,DDAD,CCDB,CBDA,CDCB,BCDB,CBABA
DDCB,CCBA,BCAD,ADCA,ACAC,AABA,ACCA,DABA,DDBC,BCDA,CDBD,BCBC,BCAB,CDCC,CBAD,ACAD,CBCA,ADDB,ADADC
DCAD,DDBD,DCDA,CCCD,DBBB,AABC,BBCB,DDBC,BCDB,CDDB,AACB,ACBA,CDDC,DBBB,BBDA,AADB,ADBA,CACD,DAABD
DBBB,ADBD,CAAB,DABA,DBCD,CADB,CABD,DDCA,DDAA,CCDA,DCBC,BBCC,CCAB,BAAC,AABD,ACCA,ADCB,CCBA,DAACA
BBAD,ACDC,DDDB,DBCD,AACA,DACC,AACD,CCCA,ACDC,DDBC,AACC,AACC,CDDB,CCDC,DBCA,DAAD,ACDD,ABCD,DDBAC
CDCA,CCBA,BCBA,AADB,CBBC,DABD,DACB,BCDC,CDBA,ADBC,BCDB,ACCD,CAAC,DBBB,BCDD,DDCD,BCCD,CDCD,CCDBA
AADC,ABDD,DACD,DADC,DCCD,CBBC,CAAA,CCAC,AABA,BBBB,DCCB,CDAD,CBBD,DBAC,BAAC,ACBC,ACBB,ACBC,DDCDA
BBBC,CBDA,BAAD,CAAB,CBAC,CDDA,CBDA,CABA,DABC,CDAC,BBDC,AABC,BCBC,DCBC,BABA,BDAC,BDBC,BACD,BACBC
ADDC,AAAC,BBCA,ABCC,ACCC,AACC,CBCA,AABD,ABAB,ACAA,BACC,BCCB,ACAC,DCAC,ACDD,DADC,BACA,CCAC,ADBBB
CBAA,ADAC,DBAA,CBBD,BCDC,CABB,BABD,BDCB,ACDA,CADC,DDCC,DACB,CADC,BABB,CABC,BCDA,BDBC,CACC,ADDBC
CABC,ABDD,CACD,ADAD,BAAB,ABDA,CDAC,BCCC,BCBA,DDBC,DCCD,DCDA,CDAC,DCBC,DABC,BBAD,ABBB,BACB,ADADC
BDAB,CBBB,BDDB,DCBD,BAAC,CCAA,BAAB,CCAA,CCAB,CBCB,ABBA,CBAC,CCDD,BDAD,ACBD,CBBD,ADCD,DDDC,CDBBA
BACA,ADBA,AAAC,BDBC,BCBC,CCBD,BCAC,ACCA,ADBA,ABDD,ABDC,DCAA,BBAC,ABDD,ABDA,ADDB,ABDA,CABB,BAACA
CDCB,DDDD,CBDA,BCBA,ADAB,CDBB,ADAC,ABAA,BACC,ACAB,DBDD,CACA,ADCB,DDAB,ADAC,CBDD,BCCA,BBCA,AADCD
CABC,AADD,DCAA,BABC,BCAB,DBAD,CAAD,CCCC,DDBC,BBBC,BDCD,CCBA,CBAA,ADBB,BDBB,BBBA,CAAD,BBBD,DADCC
CACD,BDDA,ADCD,DDAB,DCDB,DCAD,BAAC,DACD,CCAD,ACAA,ACCB,CDAB,DBDD,ABAB,BBAA,BCAC,AACA,DBDB,CACCB
DDBA,BABA,BAAA,BDAB,BCCC,CADC,DADB,DABA,DDBD,BBCC,DBCD,BABD,DDAA,ACCD,CBCA,BACB,DCAC,BCBD,DCBCC
ABAB,CCDC,BAAB,CADB,BACC,BDCD,DACC,AACD,CAAC,ABCC,CBAA,ABBC,CADD,ADBC,ABAA,ACBD,CBBA,ADAB,DBCCB
DAAA,CBAD,DBCC,ABAC,ABDA,CBAB,DCDB,ABBC,BBCD,CDBA,BCBA,AADD,DCDA,CBBD,BDDD,CDAB,CBCA,DDDD,ACDDC
DAAD,CBDA,BADC,CBBD,ACCB,ADBC,DCBB,BCCB,CAAB,ADCD,DDCC,CCDC,ACCB,BBCC,BBAC,ADDA,BAAA,BBBA,BBBCB
BACB,BABD,BDBB,CDBC,BABB,AADA,ACCC,DDCA,CAAB,CBBC,CACC,CDCB,CBCD,AACC,CACC,BCBD,ACDD,BCDA,DCADC
DDBB,BDBA,DCCD,AABC,ACDC,DDBD,CADD,DBBB,CADC,ABAB,CDDC,BABA,CDAB,DDCB,BCAB,AADC,ACDB,BAAD,DCADC
DABD,CBDB,DDDB,CDDC,BCBC,BBDA,CDAC,CDDD,CCBD,BACB,BBCC,CCCC,BBDA,ACAC,BBAA,DDCD,CBBD,CDBD,CCADD
BAAA,ABBB,CBAA,CCBD,BDBD,DACD,CCDB,DDAD,CDDA,BABB,DACB,ABBA,DBBB,ACDC,CDCD,DBCC,DBBA,BCAD,CDBAC
DDAD,DBAC,BCAB,ADCC,BBBD,CDCD,CDAC,CAAD,BACB,CADD,DCDA,DACB,CCAD,CABD,ACDB,CCCD,ACCB,CBCD,CBDCC
ABBA,BDCB,AACB,AACA,CBAB,DCBA,DDDC,ACDC,DDDC,DAAB,DBDC,BBDD,DCBA,BABA,BDBD,BABB,ABDB,CBAB,BCCDD
BBCD,BCBC,CCCB,ABCD,DDCA,ACBC,BBCA,CBAB,DCCD,CDAD,DBAC,ADCC,BDBD,BBCC,CAAD,CDAC,BAAC,ACCD,ABBBA
BCDD,ABCB,DCBB,AADD,DBDD,CBBB,CACB,BCDA,DDAB,DCDB,ABCD,AACD,ABCC,BABD,CDAC,BBCD,BDCB,BBCC,DCDBB
DADD,DDAB,DDBD,DAAC,BCCD,BCDC,DABB,BDBD,CDCB,DBAB,ACBD,DACD,BADC,CDCA,AADA,BBCB,ACDB,BCDC,BBDDB
CDAC,DDAA,CAAB,CCBB,CCAA,CDCD,BBAB,DBDB,ACCB,BBDB,CACC,BBAA,AAAC,DACC,ABCA,BCAD,DAAC,ACCC,AAACC
DBCD,DAAD,ACDC,BAAD,ACCC,BDBC,CABC,CCBA,AABD,DACC,BABD,ADAB,DDDB,ACAB,CACC,BACB,ADCD,AAAC,BDDBC
AAAB,DCBB,AADD,BDAB,BCAA,ADCD,DCCA,CCBB,CADC,ADAA,DBCD,DBAC,CDAD,ABDC,CACA,BCDC,ADAB,DBDB,BAAAB
ADCA,CDCB,DDCB,BBBA,ACBD,AABD,ADDA,BDBB,AACC,DDDB,CBBB,DCCA,DCBC,BDAC,BCBA,CBBB,ABDC,CCCD,ADBBB
DBDB,DCCB,CABD,ABBD,BAAD,AABC,DDCD,BBBC,ACCD,CCBC,AADB,CBBD,BAAA,CDCC,CCDA,CADD,ADAA,CDAB,DABAB
BAAB,DDAC,DCCC,CCDA,DACD,ABDB,BBDD,BBBC,ABDB,BBBD,BDBB,AAAA,BCAC,DDAD,BDBD,ACCC,BACC,CABD,ADCCB
AAAC,BADB,BDCA,DCCB,DDAA,ABBA,AAAB,AADB,BDAD,ACBA,ADDA,CDAD,CCAC,CBAA,DABD,DCAA,CADD,DCDD,CDBBD
AACA,ABDA,BCBB,BBBC,ADAB,ADCB,CCAC,BDBA,BDAC,BCDC,CDAD,ABAA,BCDD,DCDC,DBDD,BABC,BADB,ADDB,BBBDD
ABAB,AADC,BABA,ACBB,AACD,BDBC,ADDC,AAAD,ABAC,CBAA,BBDC,ADBC,DBBC,DDCA,CDAD,BABB,BABC,CCDC,DDCBC
BCDD,DCAB,DDCC,CABB,CCAA,BDDC,AAAD,DBCB,CDDA,BDDD,ABDC,ACCB,BBBB,ACBB,AACD,CABD,BCDC,DBCA,DCABB
DDAA,BBCB,DDAA,CCAB,BCDC,BABA,ADBB,BADB,AADB,CBCA,BBCC,BDBD,DACB,ADAC,DACC,BACD,BCDC,DCDB,DACCC
CCAB,DCDD,CDDA,AAAB,CACB,BABB,CBAA,BCAC,DDBA,DCAB,ADCB,CDAC,BDCC,AAAC,CAAB,DACB,BABA,ABCD,BAAAA
CADD,CCCC,AADD,CACB,BDBD,BCCA,AABD,BDBC,DACD,AAAB,CADB,DBCB,BCDB,ABDD,BACD,BADC,ADDD,DBDD,ABCBA
BADD,CCDC,DBDB,BDAB,CAAC,ACAD,ABCB,DBDB,ADCD,DDDA,BCAA,CCDA,CCAC,AAAB,DDCD,CDDC,CAAA,ABDC,BDDBC
CCBA,BCCD,BDCB,ABBC,DDAB,BDDC,CDAC,BDDD,CCDC,BADC,DDCD,DBBB,CBDB,CDDB,DADA,CACB,BDBD,BCCA,DDCBB
CCBB,ADCC,CDDC,DCDA,BCDD,BDAD,DCBD,CCCB,BABA,BABA,DCCA,CDAB,CBBD,CDAD,BDAC,DCDA,DAAC,ACDC,CDCAA
BDBD,CBAD,BBAD,BBCC,CBBD,DBAC,DADD,DCBD,CCCD,CCCD,DACA,CBBD,BBAB,DDDB,CACB,AACC,CAAA,ADAB,CDACC
DAAB,DDBD,DBBB,DADC,BCBB,DBDB,DAAC,ACCA,DACC,ACBD,BABA,DACC,BADB,BADC,CCBD,DBAB,ADBD,BBAD,ACBBA
DACC,ACAD,DDBA,CCBB,BDDA,ABCA,BDBC,AADC,BABD,BCDA,CBAA,BABD,ACBC,DCCA,BBDC,ABCB,DACB,CDAC,BABBB
CBAC,CBAD,CABC,CCCC,AACC,ACAB,BCBB,BABB,BBDB,BCBB,ACAB,DBBB,BCBC,ABAD,BDAA,DBAC,DADD,CDDA,DAADD
BCBA,DBDB,CDAD,BCDC,DCDC,ACCC,ABAD,DBCA,BCAA,DCBC,ACAD,AABB,DDDD,ABBD,CCDA,ADDB,CBCD,ADBC,DDCBC
DABB,ACBD,CDBC,ABAD,CBAB,BAAA,BDCB,CCBB,CDBB,CACD,ABCD,DDCD,DDAC,BCCA,DDAC,DADA,BCBC,CCBC,ACDCD
CBBD,DBAD,AACB,ABDC,CBBB,BBAD,DCCA,CCAC,DBDB,CABD,CDCD,CBCB,DDDD,DCAB,BCAD,DBDA,AAAB,DBAA,CBAAD
DADC,ACCC,DCAC,CAAC,AADD,BDAA,CCAD,DDBB,ADCC,BCCA,CDAC,AADD,DDCA,CDAC,ADBB,CCCD,BCCB,ADCC,DAAAD
DACB,DBCD,BBBD,DCBB,CBBA,ABCA,BBBD,CBBD,BABD,CBAA,AAAC,CBDD,CBDD,CAAB,DBAA,BACA,BCBC,CCCB,CABBC
BBDD,CDCA,CCBA,BDBC,DBAA,DDBC,BACB,DCAC,DCBA,ADBC,BCAA,BAAC,BACB,DDAB,AACB,AACA,BDCD,DDDA,DCDAC
CCCD,CDAC,CADB,CCDB,BBBD,ABBC,ACDA,ACBB,BDAB,DCBD,ABAA,BABB,BDCB,DBBA,BACC,BBAA,DDDB,DCCC,DABCB
CADC,DBBB,CCDC,DCBD,BBAB,DDCC,BAAC,ADCD,CBBD,ABBA,BBAA,DABB,DBBB,DCBA,BABB,DABA,ABDB,ADBD,AACBC
DCDC,AADC,CBAB,BDDA,BCBA,ABCB,CDCB,AABC,ABCA,ADAB,DABC,CADB,AAAD,BADC,ABBD,DDCB,BAAC,BDAB,ABDAB
BDAA,BAAC,ADBB,CCCD,CCDA,CACB,CDDB,DABA,BBAB,CACA,ACCD,DADC,ABCB,ACAC,DCAB,ACBC,CBCD,CBBA,DBDBA
CABB,ADBA,DCBA,BDDD,ABBA,DACB,ACAC,BDBB,ADDD,DADA,CBDB,BBCB,DCBA,ABBB,CCBA,CCAD,DDBC,CCAC,BBCAB
CADB,DAAD,BBBC,ACDD,CCBA,CDCD,ADCB,CDCD,ADBB,DABD,DACD,BBDD,BADC,ACBD,BCAA,AAAB,BBAD,BCAC,ACABD
