pos,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,neg,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,coding
,DCDBDC,CCBDAC,ACC,,BDCB,C,CADBDD,,C,,DADD,,,,,CDCDDBAD,,BBCD
,,,BDA,,,BBB,,,ADDCAC,,,,,CCCBBBCB,,,CCA,AA
,,BACB,,,ADDCB,,,,,,D,,,,DACDAACCB,,,AD
,,,BCA,BCAADBC,,,,B,,,A,CBAADDABAC,,,,DC,BCAB,BABA
,,D,,,,,ACCAD,,,C,,,,,,ACAABAA,,DA
,ACACB,C,BBADCB,,,,A,,,CCAC,ADDADD,DCDD,DBCC,CDAD,,,ACDDBBADB,BABCABC
CB,,,CDBDDDBC,,CAB,,DACBBDAA,,DAA,,,DA,,,,,,DADDCBBACBC
,,BDBAB,,,,,,ADD,,,,C,,ADBBCCA,B,,,BABABB
,,,CAAA,,BABDD,,,DCBC,,,BAD,,AC,,,ABCACCA,,ACABDCD
,,,BCDBBBDCB,CADDAB,,,CA,DA,,,,,DCDADBB,CCAC,,,CBAACCA,CDCDAAC
,,,,,CDABBBD,,,,,,BDBBB,,DADCC,,DBBD,ABD,,BCCAADC
,,CAD,,,CBBBDB,AAC,,CDBAD,,,,,C,,,,,DB
ACA,,,CCBBCBA,,,,CD,CBDA,,,ADDDDA,CCDACACD,,,,,,DCABB
AD,,,,CBBADCDDC,,,DDAAD,,,,DDCBD,BD,,,,,CCC,BCDADC
,,,CADD,,AAC,,,,,ABCBB,,,ACBCD,DDADBDC,DCCBDAC,,BBDA,DBBADCD
D,,,BCBC,,B,CAAB,CAC,,,,ADBCDD,CBDD,,A,BA,,,CDA
BDBBDC,,,,DBABA,DABDD,,,,,BA,,ADB,CABCDB,,,,DCAADDB,CDBDC
,DBDBABB,,,CADABB,,CBA,,,CB,,BC,CD,CCBD,BDBCA,D,AA,DCBAC,CCAAAC
,,B,,ADBA,A,BDABABBCA,,,,,DCACCBC,DCDBCCAA,ABAB,,,A,,ACC
,,C,DCBDC,ADAADCC,,,ADADDA,,,C,A,DAAA,,,CB,AC,B,BCBCDDD
DBBC,,,,,,CCADBCBC,DABBCBC,,A,,,,,,,BBDB,,CBDAD
,,,,,CBA,,,,DBABD,C,,BCABBB,,,,,,BBADB
,DADCD,,CBA,C,,,,,BC,,CBBA,,,,,,BADABABB,BDA
ABCBDB,CDCDAC,,,CD,BBCAAD,ABD,,C,,,DDCBBAD,D,,DCAAAA,ADC,,,DDBCADBC
DCBDCD,,,,D,,DBDCCD,,CBBACAA,DDA,,,DDDBAD,B,,ADDBD,CADBA,,DCBBCBBADDA
,A,BC,BDDBABDCBA,D,,,DADBC,,,DB,D,,CBBAB,,,,,CCABBCCCDA
,,B,ACA,,BDD,,AAC,A,,,C,A,BDBA,,,,,DACC
BB,,ADCBBDBD,,DCDAC,ADDAAAC,,,,ADBCBBB,,DAD,,,,,,A,BCCAC
BBCBA,ADDC,,,AAA,,,BC,,BBBAC,D,,,ADDB,,CC,,AADA,CBBD
,BBAABBDC,,BACBBB,,CDDDBAB,,,,,,,,,,,DDDC,BBDABD,AAADCDD
BBADAB,,C,CCBDC,,,,,,,B,ADDAD,,,CCAA,BA,,,DDDCBCC
,BDA,,CA,BADBBCBB,,,,,,,CBD,,,,AABCBCB,,,DAABC
,BAA,ABCACDA,,,,,,CCCC,,BBABB,,,,,BC,,,AD
,,,,,,,,,DADC,,,AABCD,BA,,AABDDB,CCBD,,CBD
B,,,AAAA,ABC,,,B,,,DA,CBBADCD,,,,,,,AAAD
DDBCAB,,,C,,,,,A,,ABACBCB,,,,BDCDDCAD,,,,AABDCAC
,DABCAAC,,CCAD,BDBC,,,,AD,ACAADA,BCAD,D,DACBA,BABBAD,CBACDCA,,,,A
,,,,,ADCA,,ABBBCCA,C,,,,CCA,,,B,,A,ACACBADDD
DDAAD,,CCCAC,ADCDBCCCDA,,BDABBBAACA,ABCDBBCA,,,CD,DDA,,,BD,,,,,BDCABBCC
,DDBDC,,,,,BDBC,,B,,,ADCA,ABBDD,BDDDBD,A,,,BBBDCDAA,DADA
,,,CBBBCCCA,DCBDADCC,DD,DCBAC,,BABC,,,ACD,,,DC,,,BDDC,DBCDB
,,,,CCBCCDBA,,,,AA,BDDD,,CDCBBDABC,A,,,,,,BCDD
DDDB,,,DCA,BACCBAC,,,DCDD,,,CDCDCBAA,CD,,BCAA,AB,,,,CDDAAAD
,,,DADDA,,,,,,,,,BDB,,,,CBDDAC,DCAAC,CCA
,DABCBB,AAABBC,,B,DDCCB,DBBBB,CBB,,,BDB,,,A,,,,,CAC
,,,,,,BBADAA,CDCBBCD,,BBACC,,ADDAAACDBA,,,BCBBBCAC,CCDBBBC,,CDCBADDD,BBD
,DDCA,,,,DACA,,,,,,A,,CCACACDD,,,,,DDCDA
,,,,,,,,D,,,,,,DABB,DABCCBB,BBDC,,CDDDDCDA
,DDDDC,CDCAB,,DBDDDBAC,C,,,,,,,ACDBDCDBCB,,CCCD,ACAC,,,ADBBDAB
,BBD,,,DBCDAADD,AAD,,,CADDB,,DCCCDADB,,ABACAA,AADDBBC,DBDBAA,,,CCACBDADDC,DCCCD
DCDBBC,,D,,,DDD,,BDC,,,ADBABAA,BABCAD,,,ADC,,,,ADDBBABA
,ABB,,,CCABAD,,,,,AAA,BCAC,,,,ACCDBDADD,AAADBDD,D,,BCA
