pos,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,neg,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,coding
,,,AAD,,,CBBC,C,,ADABCB,,,,,BD,BAC,,BACBCCDAA,ADDCCBD
BCCAAD,AAA,CBABBAA,,,,BA,AA,,,,,,,,,BBCDCAC,,CCAACAADBDD
,,A,,BDDA,A,,,,,ACBC,,,,,,CBABAC,CDBDBCBCA,DCBCDB
,DCAB,,,,,,,BB,,,DB,DCACBD,,,ABCDDC,BAA,,CCACB
AB,DDBAC,,,,B,BBAC,,,,A,,,,,CAADDB,ADDABA,,DADD
,,,,,CA,,A,,,,CDB,,BABCAC,,,,,DAACBABDCD
,,DCCDB,,,,BADCA,,,CACCDC,BDACB,BAACD,,,ACA,DA,,,CCAA
,,DA,,,,CDA,,,,,,DBCAAD,,,,A,,BB
,,DCCABBDC,,,DABACDB,,,DAB,A,,B,BDB,DCBA,,,,,BABBBD
BCCBAB,,,,,C,,D,ACCADB,,,BBC,CCC,,DDBBB,B,AADAB,,BAAAA
,,,,,,,ADBCCADC,,,CDABBD,D,,,,CDACB,A,BAAA,CAD
BCBC,,,,,,,BBBAABABC,,,,,,,BACB,C,,,AA
DB,,CCCD,,,ABD,ABC,,,,,,,,,,,,DCDDA
BDDCBDB,ABABDCA,BCDCAD,,,,,BBAAAABBA,CDCCBDA,CA,,ABA,BD,,,BBCB,CBCABCCCD,,BCACABAAA
,BCBDDBBB,,DCCB,,,DDCC,,,,BBAC,,,,,,B,AC,ABABDBBBDA
,,,C,,,,,,,,CCC,DD,AD,,ADACBCA,,DDDAA,A
,,,BBCAABB,,,AADA,,DAACCB,A,BDBCBCD,,,,,,,,CBBA
,ADABAAD,,CADBCCB,,,CBCD,,,,,,,,AB,CDCDCB,,,BCBBAAD
,BBAB,ACCABCCAA,,,AC,,,,,,,AAAB,,,,,,DACBBC
,,,BBAC,,,CDCBC,DACAD,DDCADDB,,,,,,,D,BBA,,DBD
CABBB,CCACCCAC,AD,B,,,,,,,DAAA,,,,,,,,CBCACBC
,,DDC,BDABABC,,CCBB,,,,,BACC,BBBADB,ADD,,,CCBCC,DCDDB,BCCCBAB,A
ACBBAC,A,,,DDADA,D,DB,DBABA,,,,,,,B,,,,ABCAA
DCD,,BDDBC,ABADBDC,,CDABDC,,,CD,,D,BB,,,,ABADACABAD,BCD,DC,AADAB
A,DCABA,,D,,,,BABBABDCA,,CDDD,,,,,CDCBB,,,,BCDAAC
BDADCDB,CC,,BBACDBADABD,AC,,,CBBCD,,,BDAA,,BDDCACBC,,,,DCAC,,CDAC
,DADACDDD,,CBC,BACBDC,DCC,,,CACBCCBDB,CDCDCADA,,CBDDBCA,,CDACDD,C,,DDBCA,,CCCACCCCD
,,,,AA,,,A,,,ADBC,,,CDBB,BB,,,,CCCAA
,,A,,BDC,,,,BBDDC,,ACD,,C,,CAADD,,BCACCA,BAD,BDCB
,ACD,DAABBCCB,,,,,BBBD,BDCCDBC,CDA,,BD,,,ABCD,AACDD,,ABBCACA,CBAAC
,ACA,,A,,,,BCDB,CD,,,CCBA,,,,,,BDDCAADD,ADABBCCCD
BBDA,CBCD,BCA,,BCAA,,,,B,DBD,,,,,CADA,CDBBDA,CDDAD,,DDCDBA
,DCACD,,,CADAABC,,DDA,,BACA,,,,A,ACDB,BDAACAC,CDBDACA,,,DCCD
,,DBBBDDC,,DBC,,,A,,CDCB,AC,CC,,,,BADABDC,,,DC
,CDDC,CDADBD,C,,,,,,BBBB,BB,BBBCA,,,,,DB,DB,DBCADCA
,,,BAA,,,BDC,AC,,CDAAD,,,,BBA,C,BBABCABAC,,DD,BABCD
,DBADBABDD,,,,D,,,B,DADADBBCCCBD,,B,,,,,,B,A
DBABBB,A,CDD,BDDBBDB,,,,B,,,,,CDDA,,,CABBAAD,,,BACA
,,BACCACDA,,CCDAB,,,,,,,D,,,AADBD,,,CBBDC,ADBCAB
,,,,,,,,,,,,,,,,BCBCDBD,,DCBAAC
,,,,BD,,ACABADB,CCADD,,,,AAACDCBD,,,,,BCAB,,BC
D,CBDB,,,,,,BCDBCAA,,BCADCAA,BA,,,,BADD,,ADCDC,,BDACAAB
,,,,AADAC,,BBCB,ABBD,,,,,,,,CADACB,,,CABBDD
,,BCACA,BCC,,,BDCBAB,,,,CBA,BC,,CB,,,CBADBD,,ACA
,,,,,,,DBCBBD,B,,ABB,C,,,DCA,ABABAA,BD,,B
AC,,,,C,,,,,A,DDADCBCC,,BCABCC,,,,,,BADCC
,,ADCDD,,BDDB,,,,CBCCBDDA,,,CC,,CDB,,D,,BAB,BBCA
,CDAD,,DDABABDA,ACC,,DABCDCB,,AADC,,,DDB,,CA,DC,,ACBBCBB,,BADDDCDB
CCB,BADDCCDD,,CCDABCBAA,BD,,,BDB,CCDAABCBA,,DCDADB,,,,,,,,C
CCABDCA,BCAAA,,,,CCAAACCA,ABBD,BC,,B,,,DABC,,DB,AABDBACBD,,,CDDDD
ADDDC,,,BB,CBCA,CCDA,,,,,,,,,CCCACCDBC,CBBDCD,,,CCABDBBD
,,ADBC,,,,DDBAA,DBBDBA,,,,ACBDBD,AAADB,,CCBABACDDD,,CADDD,,DCCA
,,,AAAC,,,,,AAADC,,AAD,,,,BC,AADABD,,ADB,ADCBACB
,DBDCBD,,,,,CCDCAD,,DCBBDCBD,BBD,,,,,,,B,,DCCA
D,BB,,,ABC,,,,,,,,,,ACDBBB,,DDBB,,CD
A,,A,,AA,D,,,CBBCB,,,CD,BDADB,,,,,,BBCCCBBDACAB
AC,,ABCBD,,,AD,,,,,,,,ACDBDD,,,,DD,AABBDD
C,BDBDB,DDAACCC,,,,ACAB,A,,,,,,B,,,,CACA,CCBCDB
,,BCB,,CDDB,,CA,,ACAD,D,,DCBADB,BCBCB,ACDA,BCACCC,ACABDB,,,AABDCC
,,,,CCDAD,ACACD,,,DA,DDD,CAAB,CB,,CDBDCC,A,CBA,ACBBDB,DDBCDA,CCAAC
,DB,,,DDA,BDDC,,A,,,,ABA,BAC,,,D,ABB,,AD
,,,,,,,BACB,,,,,,,,,DB,ACB,ACCDA
DBABB,,BD,,,,,,,CBBA,,,,,,AAB,CCB,ABBDAA,BDDABD
AADB,DDCBDAB,DCDCA,DAADCDB,,CCDBDCC,,CAACCBC,,,,,,ADB,,,ADD,ADCB,CC
DAACA,,CD,,,,ADC,AA,,,,,CABC,,CDBB,AABBCDA,,,CBACAAA
BDDDD,,DAADBCA,,,,CCDCCA,BAABC,,,,,,,,ACAD,,CCC,AADCCBD
BBAADCAD,,,CABDAAC,,,,,ADBD,,,,B,,,,,CD,DD
,D,CCDCC,CD,DAADADD,,,,,,,,,ADC,B,,BBDAAAD,DCBA,BBAA
CCABB,,,,CAAAB,,BAAB,,,,DDDDB,,,BCDC,,,DBCC,,BDDD
,,,,,,,,,CCCBA,,ABCDD,,,ACC,CCA,BC,,CDDCACC
